(-+-,1,2,,0.01,0.020833333,1,,,,,,,,,,,,
(-+-,2,47,,0.235,0.489583333,0.594936709,F:P(A/B),,,,,,,,,,,
(-+-,3,4,,0.02,0.041666667,0.114285714,G:P(B/A),,,,,,,,,,,
(-+-,4,43,,0.215,0.447916667,0.511904762,,,Most freq pattern for position,,,,,,,,,
(---,1,0,,0,0,0,,1,"""-+-""",,,Pos,Freq,Prob,,,Freq,Prob
(---,2,5,,0.025,0.15625,0.063291139,,2,"""-+-""",,,1,2,0.01,,"""---""",32,0.16
(---,3,2,,0.01,0.0625,0.057142857,,3,"""--+""",,,2,79,0.395,,"""-+-""",96,0.48
(---,4,25,,0.125,0.78125,0.297619048,,4,"""-+-""",,,3,35,0.175,,"""--+""",32,0.16
(--+,1,0,,0,0,0,,,,,,4,84,0.42,,"""-++""",29,0.145
(--+,2,3,,0.015,0.09375,0.037974684,A:position,,,,,,,,,"""+-+""",2,0.01
(--+,3,25,,0.125,0.78125,0.714285714,B:pattern,,,,,,,,,"""+--""",9,0.045
(--+,4,4,,0.02,0.125,0.047619048,,,,,,,,,,,,
(-++,1,0,,0,0,0,,,,,,,,,,,,
(-++,2,23,,0.115,0.793103448,0.291139241,,,,,,,,,,,,
(-++,3,2,,0.01,0.068965517,0.057142857,,,,,,,,,,,,
(-++,4,4,,0.02,0.137931034,0.047619048,,,,,,,,,,,,
(+-+,1,0,,0,0,0,,,,,,,,,,,,
(+-+,2,1,,0.005,0.5,0.012658228,,,,,,,,,,,,
(+-+,3,1,,0.005,0.5,0.028571429,,,,,,,,,,,,
(+-+,4,0,,0,0,0,,,,,,,,,,,,
(+--,1,0,,0,0,0,,,,,,,,,,,,
(+--,2,0,,0,0,0,,,,,,,,,,,,
(+--,3,1,,0.005,0.111111111,0.028571429,,,,,,,,,,,,
(+--,4,8,,0.04,0.888888889,0.095238095,,,,,,,,,,,,
,,,,Probability,P(A/B),P(B/A),,A-position,,,,,,,,,,
,,,,,,,,B-pattern,,,,,,,,,,
