46.1,43.5,44.41,44.08,,44.8,44.2,44.91,44.75,,45.4,44.2,44.97,44.42,,89.6,89,89.6,0,1,0,1,0,0
45.2,44.2,44.38,44.18,,44.9,44.1,44.85,44.47,,45.1,44.6,44.98,43.97,,89.4,89,89.7,0,1,0,1,0,0
45,44.1,44.87,44.77,,46,44.3,45.53,44.05,,45.4,44.8,45.05,44.67,,89.1,90.3,90.2,1,0,0,1,0,0
44.8,45.4,45,44.17,,46,43.9,44.88,45.03,,45.5,44.2,44.94,45.53,,90.2,89.9,89.7,0,0,1,1,0,0
45.34,43.61,44.76,44.15,,45.53,44.75,45.45,44.36,,45.61,45.31,45.3,44.68,,88.95,90.28,90.92,1,0,0,1,0,0
44.4,43.7,44.32,43.1,,45.23,45.08,44.44,44.43,,45.54,44.49,44.28,45.74,,88.1,90.31,90.03,1,0,0,1,0,0
44.7,44.3,44.4,43.49,,44.9,44.6,44.43,43.42,,44.9,44.9,44.48,43.81,,89,89.5,89.8,1,0,0,1,0,0
45.4,44.7,44.69,44.15,,45.4,45.1,44.04,45.06,,44.6,46.1,45.54,44.36,,90.1,90.5,90.7,1,0,0,1,0,0
45.1,44.5,44.42,44.13,,45.71,44.5,43.88,44.3,,46,44.1,45.1,44.5,,89.6,90.21,90.1,1,0,0,1,0,0
45,44.4,44.9,44.7,,46.13,44.65,44.68,43.88,,46.5,44.5,45.43,43.78,,89.4,90.78,91,1,0,0,1,0,0
44.8,44.2,44.08,43.57,,44.5,44.4,44.37,43.51,,45.3,45.1,45.14,44.78,,89,88.9,90.4,0,1,0,1,0,0
44.9,44.6,43.74,44.11,,45.9,44.2,44.97,44.84,,46.7,46.7,45.11,44.64,,89.5,90.1,93.4,1,0,0,1,0,0
44.5,43.6,43.23,42.94,,46.15,45.35,44.63,43.69,,45.47,45.36,44.99,44.17,,88.1,91.5,90.83,1,0,0,1,0,0
44.7,44,44.22,44.59,,44.9,43.4,44.31,44.93,,45.9,44.6,44.81,44.77,,88.7,88.3,90.5,0,1,0,1,0,0
45.1,44,44.2,44,,45.2,44.5,44.81,44.34,,45.2,45.2,44.9,43.88,,89.1,89.7,90.4,1,0,0,1,0,0
